From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,30803040.0,30803040.0,Makkah to Lith Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30902550.0,30902550.0,Khormah to Rania Road (Stopped), -, -, -, -
2023-03-01,2023-03-31,SAUDI,30902551.0,30902551.0,Bisha to Rania Road,108.5,141,453,14031
2023-03-01,2023-03-31,SAUDI,31000050.0,31000050.0,Jeddah to Yanbu Road,100.1,130,6195,192043
2023-03-01,2023-03-31,SAUDI,31000051.0,31000051.0,Yanbu to Jeddah Road,109.7,137,8768,271794
2023-03-01,2023-03-31,SAUDI,31000150.0,31000150.0,Jeddah to Madina Road,117.7,137,7945,246287
2023-03-01,2023-03-31,SAUDI,31000151.0,31000151.0,Madina to Jeddah Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,31202730.0,31202730.0,Turbah to Al-Ganoub Road,97.8,125,1483,45986
2023-03-01,2023-03-31,SAUDI,31244100.0,31244100.0,Taif to Turbah Road,91.1,114,4382,135829
2023-03-01,2023-03-31,SAUDI,40100150.0,40100150.0,Tabuk to Madina Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,40200600.0,40200600.0,Madina to Qassim Road,104.6,125,7215,223602
2023-03-01,2023-03-31,SAUDI,40300600.0,40300600.0,Madinah to Yanbu Road,64.2,76,5771,178908
2023-03-01,2023-03-31,SAUDI,40300601.0,40300601.0,Yanbu to Madina,87,107,6698,206093
2023-03-01,2023-03-31,SAUDI,40400150.0,40400150.0,Madina to Makkah Road,103.8,120,14884,461395
2023-03-01,2023-03-31,SAUDI,40400151.0,40400151.0,Makkah to Madina Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,40400152.0,40400152.0,Makkah - Madina Road,110.6,124,16263,504086
2023-03-01,2023-03-31,SAUDI,40400153.0,40400153.0,Madina - Makkah Road,95,111,16138,500269
2023-03-01,2023-03-31,SAUDI,40580400.0,40580400.0,Madina to Olla Road,119.6,145,2799,61355
2023-03-01,2023-03-31,SAUDI,40600150.0,40600150.0,Madina to Tabok Road,103.4,119,3830,118733
2023-03-01,2023-03-31,SAUDI,40600151.0,40600151.0,Tabuk to Madina Road,95.7,112,6684,207170
2023-03-01,2023-03-31,SAUDI,40600152.0,40600152.0,Madina to Tabuk Ring Road 2 - to be removed,83.3,101,20355,274257
2023-03-01,2023-03-31,SAUDI,40600153.0,40600153.0,Tabuk to Madina Ring Road 2 (Transferred), -, -, -, -
2023-03-01,2023-03-31,SAUDI,40803400.0,40803400.0,Qassim to Madina Road,91.8,110,3448,106822
2023-03-01,2023-03-31,SAUDI,40900050.0,40900050.0,Yanbu to Jaddah Road,81.4,104,12025,372788
2023-03-01,2023-03-31,SAUDI,50100600.0,50100600.0,Qassim to Madina Road,108.6,137,11314,350721
2023-03-01,2023-03-31,SAUDI,50100601.0,50100601.0,Madina to Qassim Road,114,136,13354,413972
2023-03-01,2023-03-31,SAUDI,50104130.0,50104130.0,Buraida to Unaiza Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,50104131.0,50104131.0,Unaiza to Buraida Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,50163000.0,50163000.0,Unaiza to (Gamas) Airport Road,88.9,107,1464,45378
2023-03-01,2023-03-31,SAUDI,50163001.0,50163001.0,Gamas (Airport Road) to Unaiza,113.4,137,905,28067
2023-03-01,2023-03-31,SAUDI,50304130.0,50304130.0,Muznab to Unaiza Road (Stopped), -, -, -, -
2023-03-01,2023-03-31,SAUDI,50400650.0,50400650.0,Hail to Qassim Road,110.5,139,5073,157249
2023-03-01,2023-03-31,SAUDI,50400651.0,50400651.0,Qassim to Hail Road,112.2,134,11316,350807
2023-03-01,2023-03-31,SAUDI,50404000.0,50404000.0,Qassim to Sherry Road,104.2,129,2423,75121
2023-03-01,2023-03-31,SAUDI,50500650.0,50500650.0,Riyadh to Qassim Road,111.7,140,10800,334815
2023-03-01,2023-03-31,SAUDI,50500651.0,50500651.0,Qassim to Riyadh Road,123.9,140,13842,429097
2023-03-01,2023-03-31,SAUDI,60100700.0,60100700.0,Hail to Baqaa Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,60200650.0,60200650.0,Qassim to Hail Road,100.5,135,1753,54340
